,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
55%,39369,48456,37084,36080,41238,44000,50000,42101,60200,40000,40000,40010,36200,45000,40000,40508,40010,40000,40000,40009,48501,50207,40565,46000,34632,41000,39155,40187,36600,45003,50004,35004,45600,38372,41726,40000,38010,39016,42053,44012,37957,40000,39503,40150,40000,42859,45700,46000,37012,40100,44000
56%,40000,49830,38037,37000,42252,44720,50010,43800,61918,40000,40081,40222,37001,45020,40016,41685,40317,40000,40000,40051,50000,51177,41927,47758,35000,42002,40000,40723,38001,46381,50213,35306,47005,40000,42914,40012,39501,40000,43503,45010,38505,40173,40000,41926,40010,43050,47001,47328,38000,41000,45000
57%,40029,50037,39590,37327,44000,45017,50953,45000,63050,40029,41075,41200,38253,46003,41002,42814,41067,40010,40008,41361,50014,52084,42730,49000,35032,43170,40066,42000,40000,47363,52001,36011,49001,40003,44000,40479,40000,40007,45000,45075,39139,41002,40077,42501,40511,44246,48015,48360,38481,41550,45502
58%,40616,50494,40000,38003,45000,46003,52000,45010,65006,40685,42006,42696,39501,48017,42001,43150,42012,40200,40800,42000,50895,53474,44309,50000,36002,45000,41003,42690,40000,48540,53670,37211,50000,40162,45000,42000,40008,40203,45029,47001,40000,42006,41000,44001,42002,45000,49420,49922,40000,42104,47000
59%,41923,52000,40017,39000,45280,47020,52470,46006,66121,42000,43302,44300,40000,49153,43058,45000,43035,41601,42000,42505,52100,55005,45023,50002,36765,45003,42097,43801,40002,50000,55000,38013,50057,41920,45100,42529,41005,41717,46305,47840,40022,42600,41914,45000,43083,45500,50000,50024,40000,43012,48005
60%,42600,52301,41600,40000,47220,48260,53976,47048,68857,43000,45000,45000,40007,50000,44293,45003,44014,42250,42972,43000,53544,56031,46002,50020,37790,46003,43157,44607,41000,50016,55144,39000,51000,42501,46141,44000,42000,42158,48000,48800,40421,44000,42403,45162,44658,47025,50100,51050,40067,44002,49001
61%,44000,53672,43000,40000,48580,50000,55004,48586,70010,44400,45042,45200,40500,50029,45003,45058,45000,43000,44584,44000,55000,58385,47071,50507,38548,47013,44802,45041,41623,51031,57000,40000,52031,43960,48000,45000,43001,43200,50000,50000,41893,45000,44015,46910,45003,48010,52000,52010,41007,45000,50000
62%,45000,55016,44920,40020,50000,50014,57001,50000,70443,45001,46501,46952,41035,50596,45224,45485,45050,44002,45000,45000,55806,60001,48050,51447,39207,48000,45000,46000,42828,52029,59042,40005,53505,45000,48843,45103,44050,45000,50006,50007,43000,45050,45000,48059,45512,49600,53000,53608,42050,45066,50052
63%,45648,57101,45000,40942,50029,50200,57655,50010,72740,46000,48000,48000,42020,51672,46002,47067,46083,45000,45242,45010,58054,60110,50000,53210,40000,48740,45080,46997,43432,54015,60000,40843,55000,45065,50000,46015,45000,45626,50295,51262,44112,46232,45043,50000,46500,50003,54867,55000,44000,46688,50729
64%,46750,58074,45760,42000,51100,51065,60000,50064,75000,47960,49945,48865,44000,52900,47337,48072,47158,45341,46915,45602,60000,61425,50010,54500,40002,50000,46008,48000,45000,55002,60016,42000,55288,45523,50003,47838,45104,47679,51531,52003,45001,48005,46015,50000,48000,50144,55200,55651,45000,47540,51480
