state,year,quartile,gender,life_expectancy
va,2006,1,female,81.817787
va,2007,1,female,83.179848
va,2008,1,female,82.260719
va,2009,1,female,81.307343
va,2010,1,female,82.947487
va,2011,1,female,82.321838
va,2012,1,female,82.324509
va,2013,1,female,83.357864
va,2014,1,female,83.126274
wa,2001,1,female,81.919167
wa,2002,1,female,81.797806
wa,2003,1,female,83.739258
wa,2004,1,female,81.833893
wa,2005,1,female,82.587387
wa,2006,1,female,82.813324
wa,2007,1,female,82.393326
wa,2008,1,female,81.147285
wa,2009,1,female,82.286507
wa,2010,1,female,84.800697
wa,2011,1,female,84.007027
wa,2012,1,female,83.547173
wa,2013,1,female,84.263306
wa,2014,1,female,85.030113
wv,2001,1,female,81.45546
wv,2002,1,female,83.349983
wv,2003,1,female,83.03228
wv,2004,1,female,80.897156
wv,2005,1,female,83.308739
wv,2006,1,female,82.852272
wv,2007,1,female,82.384041
wv,2008,1,female,80.345535
wv,2009,1,female,81.367851
wv,2010,1,female,82.807487
wv,2011,1,female,82.814796
wv,2012,1,female,82.351997
wv,2013,1,female,82.836609
wv,2014,1,female,81.7192
wi,2001,1,female,80.803108
wi,2002,1,female,81.172157
wi,2003,1,female,80.844727
wi,2004,1,female,82.135628
wi,2005,1,female,82.512779
wi,2006,1,female,82.223145
wi,2007,1,female,81.556595
wi,2008,1,female,82.41449
wi,2009,1,female,82.393967
wi,2010,1,female,82.205872
wi,2011,1,female,81.75621
wi,2012,1,female,81.202782
wi,2013,1,female,82.214272
wi,2014,1,female,83.245651
wy,2001,1,female,79.089767
wy,2002,1,female,83.644943
wy,2003,1,female,84.616669
wy,2004,1,female,81.322586
wy,2005,1,female,77.276199
wy,2006,1,female,83.188507
wy,2007,1,female,86.350372
wy,2008,1,female,85.51474
wy,2009,1,female,85.216774
wy,2010,1,female,79.255539
wy,2011,1,female,79.507309
wy,2012,1,female,83.575539
wy,2013,1,female,82.092033
wy,2014,1,female,79.906914
al,2001,1,male,73.857742
al,2002,1,male,73.574623
al,2003,1,male,75.406738
al,2004,1,male,73.675529
al,2005,1,male,74.46228
al,2006,1,male,74.945656
al,2007,1,male,74.35318
al,2008,1,male,74.642876
al,2009,1,male,73.709465
al,2010,1,male,74.058838
al,2011,1,male,75.231262
al,2012,1,male,74.743202
al,2013,1,male,74.633057
al,2014,1,male,75.295845
ak,2001,1,male,78.723373
ak,2002,1,male,78.823036
ak,2003,1,male,77.160812
ak,2004,1,male,77.355095
ak,2005,1,male,76.628616
ak,2006,1,male,77.420303
ak,2007,1,male,77.948044
ak,2008,1,male,78.38282
